,No,Date,Weather,TempF,TempC,Humidity,Pressure,Location
465,465,2020-04-11,0,96,36,65,1012,Nellore
466,466,2020-04-12,0,98,37,60,1011,Nellore
467,467,2020-04-13,0,101,38,55,1009,Nellore
468,468,2020-04-14,0,100,38,57,1010,Nellore
469,469,2020-04-15,0,97,36,63,1011,Nellore
470,470,2020-04-16,0,100,38,63,1009,Nellore
471,471,2020-04-17,0,102,39,64,1008,Nellore
472,472,2020-04-18,0,101,38,66,1009,Nellore
473,473,2020-04-19,0,101,39,66,1009,Nellore
474,474,2020-04-20,0,99,37,66,1009,Nellore
475,475,2020-04-21,0,100,38,66,1009,Nellore
476,476,2020-04-22,0,100,38,64,1008,Nellore
477,477,2020-04-23,0,100,38,68,1008,Nellore
478,478,2020-04-24,0,101,39,60,1007,Nellore
479,479,2020-04-25,0,102,39,62,1007,Nellore
480,480,2020-04-26,1,99,37,64,1008,Nellore
481,481,2020-04-27,1,96,36,67,1009,Nellore
482,482,2020-04-28,0,98,37,68,1009,Nellore
483,483,2020-04-29,0,98,37,63,1009,Nellore
484,484,2020-04-30,0,100,38,63,1009,Nellore
485,485,2020-05-01,0,102,39,64,1008,Nellore
486,486,2020-05-02,0,103,39,62,1006,Nellore
487,487,2020-05-03,0,103,40,59,1006,Nellore
488,488,2020-05-04,0,103,39,60,1008,Nellore
489,489,2020-05-05,0,102,39,62,1007,Nellore
490,490,2020-05-06,0,104,40,61,1007,Nellore
491,491,2020-05-07,0,102,39,63,1007,Nellore
492,492,2020-05-08,0,102,39,63,1007,Nellore
493,493,2020-05-09,0,105,41,61,1007,Nellore
494,494,2020-05-10,0,101,39,63,1008,Nellore
495,495,2020-05-11,0,100,38,65,1008,Nellore
496,496,2020-05-12,0,97,36,68,1007,Nellore
497,497,2020-05-13,0,101,38,67,1007,Nellore
498,498,2020-05-14,0,97,36,69,1006,Nellore
499,499,2020-05-15,0,101,38,65,1005,Nellore
500,500,2020-05-16,0,104,40,59,1003,Nellore
501,501,2020-05-17,0,110,43,54,1002,Nellore
502,502,2020-05-18,0,105,41,50,999,Nellore
503,503,2020-05-19,0,108,42,38,998,Nellore
504,504,2020-05-20,0,112,44,33,999,Nellore
505,505,2020-05-21,0,112,44,36,1001,Nellore
506,506,2020-05-22,0,112,45,40,1003,Nellore
507,507,2020-05-23,0,110,43,51,1004,Nellore
508,508,2020-05-24,0,107,42,65,1005,Nellore
509,509,2020-05-25,0,103,40,68,1006,Nellore
510,510,2020-05-26,0,104,40,67,1006,Nellore
511,511,2020-05-27,0,104,40,67,1005,Nellore
